14,2,Kimi Raikkonen,Ferrari,1
14,3,Valtteri Bottas,Mercedes,4
14,4,Sebastian Vettel,Ferrari,2
14,5,Max Verstappen,Red Bull,5
14,6,Esteban Ocon,RP Force India,8
14,7,Sergio Perez,RP Force India,14
14,8,Carlos Sainz Jr.,Renault,7
14,9,Lance Stroll,Williams,10
14,10,Sergey Sirotkin,Williams,12
15,1,Lewis Hamilton,Mercedes,1
15,2,Max Verstappen,Red Bull,2
15,3,Sebastian Vettel,Ferrari,3
15,4,Valtteri Bottas,Mercedes,4
15,5,Kimi Raikkonen,Ferrari,5
15,6,Daniel Ricciardo,Red Bull,6
15,7,Fernando Alonso,McLaren,11
15,8,Carlos Sainz Jr.,Renault,12
15,9,Charles Leclerc,Sauber,13
15,10,Nico Hulkenberg,Renault,10
16,1,Lewis Hamilton,Mercedes,2
16,2,Valtteri Bottas,Mercedes,1
16,3,Sebastian Vettel,Ferrari,3
16,4,Kimi Raikkonen,Ferrari,4
16,5,Max Verstappen,Red Bull,19
16,6,Daniel Ricciardo,Red Bull,18
16,7,Charles Leclerc,Sauber,7
16,8,Kevin Magnussen,Haas,5
16,9,Esteban Ocon,RP Force India,6
16,10,Sergio Perez,RP Force India,8
17,1,Lewis Hamilton,Mercedes,1
17,2,Valtteri Bottas,Mercedes,2
17,3,Max Verstappen,Red Bull,3
17,4,Daniel Ricciardo,Red Bull,15
17,5,Kimi Raikkonen,Ferrari,4
17,6,Sebastian Vettel,Ferrari,9
17,7,Sergio Perez,RP Force India,9
17,8,Romain Grosjean,Haas,5
17,9,Esteban Ocon,RP Force India,11
17,10,Carlos Sainz Jr.,Renault,13
18,1,Kimi Raikkonen,Ferrari,2
18,2,Max Verstappen,Red Bull,18
18,3,Lewis Hamilton,Mercedes,1
18,4,Sebastian Vettel,Ferrari,5
18,5,Valtteri Bottas,Mercedes,3
18,6,Nico Hulkenberg,Renault,7
18,7,Carlos Sainz Jr.,Renault,11
18,8,Sergio Perez,RP Force India,10
18,9,Brendon Hartley,Toro Rosso,20
18,10,Marcus Ericsson,Sauber,16
19,1,Max Verstappen,Red Bull,2
19,2,Sebastian Vettel,Ferrari,4
19,3,Kimi Raikkonen,Ferrari,6
19,4,Lewis Hamilton,Mercedes,3
